66,1,1
68,1,1
120,1,1
69,1,1
61,1,1
62,1,1
77,1,1
65,1,1
55,1,1
55,1,1
53,1,1
91,1,1
77,1,1
61,1,1
61,1,1
56,1,1
45,1,1
45,1,1
47,1,1
47,1,1
52,1,1
44,1,1
47,1,1
45,1,1
43,1,1
51,1,1
67,1,1
94,1,1
56,1,1
47,1,1
58,1,1
50,1,1
47,1,1
53,1,1
38,1,1
41,1,1
41,1,1
37,1,1
43,1,1
39,1,1
41,1,1
62,1,1
37,1,1
37,1,1
46,1,1
42,1,1
40,1,1
42,1,1
37,1,1
44,1,1
42,1,1
41,1,1
38,1,1
40,1,1
39,1,1
41,1,1
39,1,1
45,1,1
38,1,1
43,1,1
37,1,1
39,1,1
44,1,1
80,1,1
50,1,1
41,1,1
39,1,1
38,1,1
38,1,1
41,1,1
47,1,1
62,1,1
37,1,1
46,1,1
45,1,1
48,1,1
38,1,1
39,1,1
37,1,1
38,1,1
39,1,1
45,1,1
55,1,1
59,1,1
38,1,1
42,1,1
39,1,1
39,1,1
40,1,1
40,1,1
39,1,1
44,1,1
47,1,1
46,1,1
38,1,1
39,1,1
40,1,1
43,1,1
45,1,1
42,1,1
47,1,1
