771,18,1
318,8,1
216,6,1
386,10,1
202,6,1
930,26,1
399,10,1
650,18,1
364,10,1
426,10,1
283,8,1
222,6,1
919,26,1
305,8,1
304,8,1
209,6,1
481,14,1
329,10,1
352,10,1
339,10,1
433,12,1
206,6,1
235,6,1
206,6,1
207,6,1
207,6,1
1115,30,-1
219,6,1
360,10,1
351,10,1
419,10,1
239,6,1
208,6,1
207,6,1
292,8,1
399,10,1
425,10,1
341,10,1
208,6,1
210,6,1
207,6,1
677,18,1
483,12,1
514,14,1
438,12,1
229,6,1
305,8,1
201,6,1
206,6,1
674,18,1
665,18,1
216,6,1
218,6,1
368,10,1
521,14,1
227,6,1
292,8,1
372,10,1
522,14,1
386,10,1
382,10,1
199,6,1
212,6,1
210,6,1
215,6,1
239,6,1
362,10,1
610,18,1
200,6,1
345,10,1
251,6,1
241,6,1
226,6,1
241,6,1
555,14,1
662,18,1
349,8,1
383,10,1
230,6,1
319,8,1
217,6,1
421,10,1
254,6,1
757,18,1
728,16,1
432,8,1
391,8,1
543,14,1
597,14,1
388,8,1
273,6,1
365,8,1
373,10,1
410,10,1
250,6,1
317,8,1
373,8,1
617,12,1
452,10,1
391,10,1
266,6,1
