meanEXE	medianEXE	modeEXE	stdEXE	meantestSize	mediantestSize	modetestSize	stdtestSize	fail	complete	aborted
308.83	266.00	184.00	144.86	7.66	7.00	5.00	3.49	0	101	0
305.79	248.00	192.00	161.25	7.39	5.00	5.00	3.54	0	101	0
280.35	255.00	185.00	110.58	6.77	5.00	5.00	2.60	0	101	0
376.94	354.00	308.00	169.73	9.11	8.00	6.00	3.66	0	101	0
284.77	256.00	187.00	112.29	7.02	5.00	5.00	2.80	0	101	0
375.55	304.00	220.00	208.44	9.15	8.00	6.00	4.79	0	99	2
357.37	291.00	232.00	173.19	8.18	6.00	6.00	2.72	0	101	0
418.00	316.00	221.00	289.08	10.06	8.00	6.00	5.72	0	98	3
366.97	289.00	208.00	201.86	8.77	6.00	6.00	4.28	0	100	1
356.69	304.00	216.00	164.96	8.89	8.00	6.00	3.87	0	101	0
361.58	268.00	241.00	194.33	8.97	6.00	6.00	4.53	0	101	0
360.45	294.00	232.00	170.71	9.01	8.00	6.00	4.13	0	100	1
340.53	300.00	228.00	149.93	8.34	6.00	6.00	3.57	0	101	0
349.57	268.00	237.00	187.23	8.51	6.00	6.00	4.42	0	100	1
372.18	325.00	264.00	171.80	9.09	8.00	6.00	4.08	0	100	1
224.67	179.00	158.00	109.25	5.48	4.00	4.00	2.68	0	101	0
236.72	200.00	154.00	99.99	5.66	5.00	4.00	2.24	0	101	0
379.21	304.00	232.00	201.36	9.41	6.00	6.00	4.83	0	99	2
254.29	197.00	157.00	150.24	5.94	4.00	4.00	3.57	0	101	0
362.01	296.00	232.00	173.30	8.81	6.00	6.00	4.15	0	101	0
49.07	47.00	45.00	6.77	1.00	1.00	1.00	0.00	0	101	0
350.49	269.00	225.00	173.96	8.57	6.00	6.00	4.13	0	100	1
378.66	316.00	248.00	205.21	9.01	8.00	6.00	4.81	0	99	2
265.07	181.00	155.00	202.23	6.36	4.00	4.00	5.10	0	100	1
217.85	171.00	157.00	138.23	5.15	4.00	4.00	3.20	0	101	0
357.41	292.00	273.00	173.89	8.28	6.00	6.00	3.95	0	100	1
251.71	176.00	155.00	199.99	5.86	4.00	4.00	4.20	0	101	0
86.70	86.00	86.00	11.11	2.00	2.00	2.00	0.00	0	101	0
277.92	240.00	193.00	101.65	6.81	5.00	5.00	2.37	0	101	0
299.63	262.00	162.00	131.66	7.28	7.00	5.00	3.15	0	101	0
343.49	281.00	230.00	157.87	8.40	6.00	6.00	3.53	0	101	0
314.62	227.00	192.00	174.04	7.68	5.00	5.00	4.03	0	101	0
353.49	270.00	229.00	160.32	8.75	6.00	6.00	3.88	0	101	0
312.72	254.00	193.00	152.97	7.51	7.00	5.00	3.43	0	101	0
306.68	248.00	169.00	152.28	7.45	5.00	5.00	3.55	0	101	0
367.35	323.00	235.00	170.19	8.93	8.00	6.00	4.07	0	101	0
295.75	247.00	197.00	129.22	7.12	5.00	5.00	3.07	0	101	0
385.07	315.00	235.00	207.05	9.37	8.00	6.00	4.95	0	99	2
323.68	260.00	199.00	185.98	7.78	5.00	5.00	4.30	0	101	0
329.43	280.00	205.00	180.81	7.98	7.00	5.00	4.23	0	101	0
329.78	278.00	197.00	180.98	7.82	7.00	5.00	4.30	0	101	0
363.84	286.00	266.00	168.28	8.63	6.00	6.00	4.06	0	101	0
309.92	248.00	198.00	148.15	7.45	5.00	5.00	3.53	0	101	0
376.50	278.00	230.00	196.07	9.09	6.00	6.00	4.65	0	101	0
356.50	307.00	226.00	159.20	8.97	8.00	6.00	4.23	0	101	0
359.27	310.00	207.00	165.50	8.83	8.00	6.00	3.98	0	101	0
365.35	280.00	231.00	181.23	9.03	8.00	6.00	4.33	0	101	0
380.43	329.00	240.00	169.33	9.17	8.00	6.00	3.92	0	101	0
395.69	314.00	241.00	228.33	9.43	6.00	6.00	5.20	0	99	2
383.30	330.00	242.00	178.65	9.03	8.00	6.00	4.29	0	100	1
357.46	278.00	237.00	180.92	8.63	6.00	6.00	4.32	0	100	1
359.86	273.00	235.00	163.95	8.77	6.00	6.00	4.34	0	100	1
376.10	297.00	239.00	194.95	8.77	6.00	6.00	4.55	0	99	2
391.19	323.00	237.00	202.18	8.87	8.00	6.00	4.13	0	101	0
404.49	330.00	239.00	201.47	9.41	8.00	6.00	4.65	0	100	1
388.04	327.00	240.00	187.27	9.13	8.00	6.00	4.51	0	100	1
408.52	331.00	246.00	236.09	9.45	8.00	6.00	4.96	0	100	1
388.45	324.00	243.00	212.63	9.21	8.00	6.00	4.64	0	100	1
371.37	300.00	241.00	166.11	8.75	6.00	6.00	3.86	0	101	0
358.88	311.00	250.00	162.70	8.57	6.00	6.00	3.82	0	101	0
350.00	296.00	245.00	173.49	8.55	6.00	6.00	4.12	0	100	1
341.82	283.00	266.00	156.14	8.46	6.00	6.00	3.79	0	100	1
339.44	290.00	201.00	153.79	8.40	8.00	6.00	3.42	0	101	0
333.28	274.00	274.00	162.25	8.48	6.00	6.00	4.38	0	100	1
327.18	286.00	244.00	141.37	7.92	6.00	6.00	3.12	0	101	0
