1704,30,-1
1258,30,-1
1688,30,-1
1272,30,-1
1239,30,-1
1311,30,-1
1272,30,-1
1300,30,-1
1253,30,-1
1272,30,-1
1439,30,-1
1474,30,-1
1531,30,-1
1788,30,-1
1486,30,-1
1372,30,-1
1322,30,-1
1357,30,-1
1395,30,-1
1362,30,-1
1467,30,-1
1602,30,-1
1464,30,-1
1638,30,-1
1433,30,-1
2082,30,-1
1689,30,-1
2182,30,-1
1947,30,-1
1765,30,-1
46,1,0
61,1,0
41,1,0
62,1,0
65,1,0
30,1,0
28,1,0
30,1,0
33,1,0
42,1,0
1344,30,-1
1328,30,-1
1319,30,-1
1416,30,-1
1327,30,-1
1487,30,-1
1339,30,-1
1875,30,-1
1563,30,-1
1575,30,-1
